,Date,Year,Country,Sex,Injury,Fatal,ACTIVITY,AGE
82,16-Sep-2017,2017,SPAIN,M,Lacerations to right foot,N,surfing,13
83,16-Sep-2017,2017,USA,M,Lacerations to left foot,N,surfing,28
84,15-Sep-2017,2017,SOUTH AFRICA,M,"FATAL, but death was probably due to drowning",0,diving,25
85,15-Sep-2017,2017,SAMOA,M,Injuries to hands and legs,N,fishing,0
86,Sep-2017,2017,AUSTRALIA,0,"sharks rammed boats, no injury to occupants",N,fishing,0
87,13-Sep-2017,2017,USA,M,Lacerations to left foot,N,surfing,18
88,10-Sep-2017,2017,AUSTRALIA,M,Minor injuries,N,swimming,0
89,10-Sep-2017,2017,AUSTRALIA,M,Minor lacerations to right hip,N,surfing,35
90,Reported 06-Sep-2017,2017,SOLOMON ISLANDS,M,Foot bitten,N,spearfishing,0
91,03-Sep-2017,2017,SOUTH AFRICA,M,FATAL,Y,swimming,0
92,03-Sep-2017,2017,JAPAN,M,Injury to ankle & feet,N,surfing,42
93,02-Sep-2017,2017,USA,M,Lacerations to abdomen,N,swimming,0
94,02-Sep-2017,2017,USA,F,Lacerations to foot,N,swimming,0
95,02-Sep-2017,2017,USA,M,Minor injury to right hand,N,surfing,17
96,29-Aug-2017,2017,AUSTRALIA,M,"No injury, board bitten",N,surfing,37
97,27-Aug-2017,2017,USA,F,Leg injured,N,wading,0
98,26-Aug-2017,2017,SPAIN,F,Lacerations to left foot,0,swimming,11
99,26-Aug-2017,2017,NEW ZEALAND,M,"No injury, shark bit canoe",N,canoeing,0
100,23-Aug-2017,2017,USA,M,Not injured by shark but board bitten,N,0,69
101,18-Aug-2017,2017,BAHAMAS,M,Hand injured,N,spearfishing,0
102,10-Aug-2017,2017,USA,M,Minor cuts to sole & toes of left foot,N,swimming,13
103,05-Aug-2017,2017,EGYPT,F,Bite to right leg/hip,N,snorkeling,20
104,03-Aug-2017,2017,USA,M,Foot bitten by landed shark PROVOKED INCIDENT,N,fishing,34
105,01-Aug-2017,2017,USA,M,"No injury, bow of kayak bitten",N,kayaking,0
106,31-Jul-2017,2017,USA,M,Lacerations to lower leg,N,skimboarding,15
107,29-Jul-2017,2017,USA,M,Abrasions and cuts to sole of foot,0,swimming,10
108,29-Jul-2017,2017,USA,F,Bite to left thigh / minor injury,N,0,12
109,27-Jul-2017,2017,BAHAMAS,F,Foot & ankle injured,N,snorkeling,0
110,Reported 26-Jul-2017,2017,BAHAMAS,M,Severe lacerations to left hand,N,spearfishing,0
111,24-Jul-2017,2017,"ST HELENA, British overseas territory",M,Torso bitten,N,surfing,37
112,23-Jul-2017,2017,USA,F,Minor injury to hand,N,0,0
113,23-Jul-2017,2017,SPAIN,F,Abrasion to arm from shark's rough skin,N,swimming,0
114,22-Jul-2017,2017,USA,F,Foot bitten,N,0,40
115,20-Jul-2017,2017,USA,F,Foot injured,0,swimming,0
116,20-Jul-2017,2017,USA,M,"No injury, kayak bitten",N,kayaking,40
117,20-Jul-2017,2017,USA,M,"No injury, shark bit paddleboard",N,0,50
118,14-Jul-2017,2017,USA,M,Pulled off board by shark but no injury,N,surfing,0
119,14-Jul-2017,2017,AUSTRALIA,M,"Minor injury, grazed by shark",N,surfing,0
120,11-Jul-2017,2017,USA,M,"No injury, kayak bitten",N,kayaking,0
121,09-Jul-2017,2017,USA,M,Lower legs bitten,N,swimming,46
122,Reported 07-Jul-2017,2017,MEXICO,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,fishing,32
123,07-Jul-2017,2017,SOUTH AFRICA,F,"No injury, shark bit surfboard",N,surfing,13
124,02-Jul-2017,2017,COMOROS,0,"Skull found in shark, a probable drowning & scavenging",0,fishing,0
125,29-Jun-2017,2017,USA,M,"Arm injured by hook, not by a shark",0,fishing,0
126,21-Jun-2017,2017,USA,F,Left foot bitten,N,swimming,16
127,19-Jun-2017,2017,USA,M,1 to 2-inch laceration behind knee,N,surfing,0
128,18-Jun-2017,2017,USA,F,Leg bitten,N,swimming,14
129,18-Jun-2017,2017,REUNION,M,"No injury, shark bit surfboard ",N,boarding,34
130,17-Jun-2017,2017,SPAIN,M,2-inch laceration to hand,N,swimming,82
131,2017.06.05,2017,FRENCH POLYNESIA,M,Injuries to hand and wrist,N,surfing,0
132,Reported 14-Jun-2017,2017,BAHAMAS,F,Fingernail pulled off ,N,feeding,0
133,11-Jun-2017,2017,AUSTRALIA,M,"No injury, board bitten",N,boarding,48
134,10-Jun-2017,2017,AUSTRALIA,F,"No injury, knocked off board",N,surfing,0
135,10-Jun-2017,2017,USA,M,Laceration to left foot,N,surfing,19
136,Reported 07-Jun-2017,2017,UNITED KINGDOM,M,"Bruise to leg, cuts to hand sustained when he hit the shark",N,surfing,30
137,04-Jun-2017,2017,USA,M,Laceration to shin,N,spearfishing,0
138,02-Jun-2017,2017,BAHAMAS,F,Right forearm severed ,N,snorkeling,32
139,30-May-2017,2017,USA,F,Right hand bitten by hooked shark PROVOKED INCIDENT,N,touching,20
140,28-May-2017,2017,USA,M,Lacerations to right arm,N,feeding,0
141,27-May-2017,2017,AUSTRALIA,M,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,fishing,73
142,12-May-2017,2017,UNITED ARAB EMIRATES,M,Right leg severely bitten,N,spearfishing,41
143,Reported 06-May-2017,2017,AUSTRALIA,M,Thigh nipped PROVOKED INCIDENT,N,attempting,29
144,05-May-2017,2017,MEXICO,M,FATAL,Y,snorkeling,33
145,03-May-2017,2017,USA,F,"Laceration to thigh, likely caused by surfboard fin",0,surfing,18
146,29-Apr-2017,2017,USA,F,Major injury to posterior thigh,N,swimming,0
147,29-Apr-2017,2017,SOUTH AFRICA,M,Minor injury to right calf,N,surfing,14
148,29-Apr-2017,2017,USA,F,Left foot bitten,N,surfing,33
149,29-Apr-2017,2017,REUNION,M,FATAL,Y,boarding,28
150,27-Apr-2017,2017,NEW ZEALAND,F,Puncture wounds & laceration above knee,N,boarding,20
151,26-Apr-2017,2017,USA,F,Alleged laceration to left ankle,0,0,0
152,22-Apr-2017,2017,"ST HELENA, British overseas territory",F,Calf & foot bitten,N,snorkeling,40
153,20-Apr-2017,2017,USA,M,Laceration & puncture wounds to left foot,0,swimming,0
154,17-Apr-2017,2017,USA,0,Minor bite to the foot,N,0,0
155,17-Apr-2017,2017,AUSTRALIA,F,FATAL,Y,surfing,17
156,14-Apr-2017,2017,USA,M,Lower right leg severely injured,N,surfing,28
157,13-Apr-2017,2017,USA,M,Lacerations to right foot,N,surfing,17
158,12-Apr-2017,2017,USA,F,Lacerations to right foot,N,surfing,0
159,12-Apr-2017,2017,SOUTH AFRICA,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",0,diving,68
160,11-Apr-2017,2017,USA,F,Calf bitten,N,surfing,35
161,10-Apr-2017,2017,USA,F,Laceration to calf,N,boarding,10
162,10-Apr-2017,2017,USA,F,Minor injury to left hand,N,swimming,21
163,06-Apr-2017,2017,USA,M,Foot injured,N,swimming,16
164,05-Apr-2017,2017,USA,F,"Thigh nipped, minor injury",N,swimming,51
165,02-Apr-2017,2017,AUSTRALIA,M,"No injury, shark bit off stern of kayak",N,kakaying,39
166,02-Apr-2017,2017,USA,F,Lacerations to thighs,N,swimming,17
167,27-Mar-2017,2017,USA,M,Minor injury to left foot,N,surfing,58
168,19-Mar-2017,2017,AUSTRALIA,M,Minor,N,boarding,30
169,18-Mar-2017,2017,USA,M,"No injury, kayak bitten",N,kayaking,0
170,11-Mar-2017,2017,PHILIPPINES,M,Right thigh injured ,N,spearfishing,25
171,Reported 09-Mar-2017,2017,BAHAMAS,M,Abrasions & lacerations to left leg and hand,N,washing,58
172,25-Feb-2017,2017,AUSTRALIA,F,Hand bitten,N,snorkeling,0
173,24-Feb-2017,2017,AUSTRALIA,M,"No injury, shark struck board",N,surfing,0
174,21-Feb-2017,2017,REUNION,M,Fatal,Y,boarding,26
175,17-Feb-2017,2017,AUSTRALIA,M,Left leg severely bitten,N,spearfishing,26
176,11-Feb-2017,2017,USA,M,Injury to hand,N,swimming,22
177,06-Feb-2017,2017,BRAZIL,F,"Minor injury to finger, PROVOKED INCIDENT",N,grabbing,0
178,06-Feb-2017,2017,SOUTH AFRICA,M,"Shark damaged kayak, no injury to occupant",N,fishing,0
179,01-Feb-2017,2017,USA,0,"Shark bit boat, no injury to occupants",N,tagging,0
180,01-Feb-2017,2017,BAHAMAS,M,Lacerations to upper right arm,N,diving,37
181,24-Jan-2017,2017,BRAZIL,M,Minor laceration to ring finger,N,swimming,21
182,22-Jan-2017,2017,USA,M,Puncture wounds to lower arm or hand,N,0,0
183,21-Jan-2017,2017,AUSTRALIA,M,"Multiple injuries to arm, wrist and torso",N,diving,55
184,13-Jan-2017,2017,AUSTRALIA,M,Injury to hand,N,swimming,57
185,13-Jan-2017,2017,USA,M,Minor injury to hand,N,0,0
186,09-Jan-2017,2017,INDONESIA,M,Injury to right wrist & forearm,N,surfing,48
187,Reported 08-Jan-2017,0,AUSTRALIA,M,"No attack, shark made a threat display",0,spearfishing,35
188,05-Jan-2017,2017,USA,M,Minor injuries to foot,N,wading,47
189,03-Jan-2017,2017,AUSTRALIA,M,Minor injuries to foot & toes,0,wading,20
190,27-Dec-2016,2016,USA,M,Lacerations to right forearm,N,surfing,16
191,24-Dec-2016,2016,AUSTRALIA,F,Buttock bitten,N,snorkeling,0
192,19-Dec-2016,2016,SOUTH AFRICA,M,"No injury, but ski severely damaged",N,skiing,55
193,14-Dec-2016,2016,AUSTRALIA,M,Punctures to left foot/ankle,N,diving,61
194,11-Dec-2016,2016,FRENCH POLYNESIA,M,Hand injured?,N,fishing,40
195,11-Dec-2016,2016,USA,M,Cuts to right ankle & foot,0,surfing,19
196,06-Dec-2016,2016,AUSTRALIA,M,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,fishing,20
197,01-Dec-2016,2016,AUSTRALIA,M,Injuries to foot & arm,N,surfing,65
198,28-Nov-2016,2016,AUSTRALIA,M,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,fishing,73
199,14-Nov-2016,2016,USA,F,Injuries to right calf and thigh,N,floating,58
200,30-Oct-2016,2016,USA,M,Lacerations to right foot and ankle,N,surfing,41
201,29-Oct-2016,2016,USA,M,Lacerations to right hand,N,surfing,42
202,24-Oct-2016,2016,AUSTRALIA,M,Lacerations to left thigh,N,surfing,36
203,21-Oct-2016,2016,USA,M,Left arm and leg injured,N,surfing,36
204,15-Oct-2016,2016,AUSTRALIA,M,Torso nipped,N,surfing,0
205,14-Oct-2016,2016,USA,F,Injuries to left calf,N,snorkeling,66
206,13-Oct-2016,2016,MEXICO,M,"Shark breached cage, no injury to diver",0,diving,0
207,12-Oct-2016,2016,AUSTRALIA,M,Minor wound to lower right leg & surfboard bitten,N,surfing,25
208,10-Oct-2016,2016,USA,M,Wounds to upper thigh and lower leg,N,surfing,29
209,02-Oct-2016,2016,USA,M,Cuts to dorsal surface of left foot,N,surfing,21
210,01-Oct-2016,2016,USA,M,Minor injuries,N,0,32
211,26-Sep-2016,2016,AUSTRALIA,M,4 deep lacerations to thigh,N,surfing,17
212,18-Sep-2016,2016,USA,M,Minor injury to thigh,N,surfing,16
213,18-Sep-2016,2016,USA,M,Lacerations to hands,N,surfing,36
214,18-Sep-2016,2016,USA,M,Lacerations to lower leg,N,surfing,43
215,17-Sep-2016,2016,USA,M,"No injury, board bitten",N,surfing,43
216,17-Sep-2016,2016,AUSTRALIA,M,Struck by fin on chest & leg,N,surfing,0
217,16-Sep-2016,2016,AUSTRALIA,M,No injury: Knocked off board by shark,N,surfing,0
218,15-Sep-2016,2016,AUSTRALIA,0,Shark rammed boat. No injury to occupant,N,fishing,0
219,11-Sep-2016,2016,USA,M,Minor injury to arm,N,wading,60
220,07-Sep-2016,2016,USA,F,Severe lacerations to shoulder & forearm,N,swimming,51
221,06-Sep-2016,2016,NEW CALEDONIA,M,FATAL,Y,surfing,50
222,05-Sep-2016,2016,USA,F,Lacerations & punctures to lower right leg,N,boarding,12
223,05-Sep-2016,2016,AUSTRALIA,M,"No inury, board broken in half by shark",N,surfing,0
224,04-Sep-2016,2016,USA,M,Foot bitten,N,boarding,0
225,01-Sep-2016,2016,USA,M,Two toes broken & lacerated,N,spearfishing,22
226,Sep-2016,2016,MEXICO,0,"No injury to divers, white shark breached cage",0,diving,0
227,29-Aug-2016,2016,USA,M,Lacerations to right foot,N,surfing,25
228,29-Aug-2016,2016,USA,M,Minor injury to ankle,N,surfing,37
229,27-Aug-2016,2016,REUNION,M,"Right arm severed, ankle severely bitten ",N,surfing,20
230,25-Aug-2016,2016,USA,M,Minor injury to ankle,N,wading,49
231,07-Aug-2016,2016,BAHAMAS,M,Lacerations to left leg,N,snorkeling,15
232,06-Aug-2016,2016,USA,M,"No inury, shark & board collided",N,boarding,21
233,04-Aug-2016,2016,USA,M,Big toe bitten,N,surfing,22
234,29-Jul-2016,2016,SPAIN,M,Lacerations to right hand,N,swimming,40
235,28-Jul-2016,2016,CHINA,M,Lacerations to leg,N,swimming,72
236,28-Jul-2016,2016,AUSTRALIA,M,"No injury, shark nudged kayak repeatedly",N,kayaking,0
237,27-Jul-2016,2016,USA,M,Laceration to left forearm PROVOKED INCIDENT,N,lobstering,43
238,26-Jul-2016,2016,AUSTRALIA,M,"No injury. Leg rope severed, knocked off board by shark",N,surfing,18
239,24-Jul-2016,2016,JAPAN,M,Lacerations to left leg,N,surfing,29
240,23-Jul-2016,2016,AUSTRALIA,M,Calf bumped but no injury,N,surfing,36
241,23-Jul-2016,2016,BAHAMAS,M,Lacerations to face and right leg,N,spearfishing,0
242,20-Jul-2016,2016,AUSTRALIA,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,fishing,31
243,17-Jul-2016,2016,USA,0,"No injury, shark bit trolling motor",N,fishing,0
244,16-Jul-2016,2016,USA,F,Minor injury to leg,N,surfing,0
245,16-Jul-2016,2016,USA,F,Minor injury to toes,N,0,11
246,15-Jul-2016,2016,USA,M,"No injury, board damaged",N,surfing,61
247,15-Jul-2016,2016,USA,M,Puncture wounds to foot,N,swimming,0
248,Reported  14-Jul-2016,2016,BAHAMAS,M,Face bruised when partly blind shark collided with him,N,diving,0
249,Reported 08-Jul-2016,2016,SPAIN,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,wading,10
250,08-Jul-2016,2016,USA,M,"No injury. Hull bitten, tooth fragment recovered",N,fishing,0
251,07-Jul-2016,2016,USA,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,fishing,59
252,07-Jul-2016,2016,USA,M,"No injury. Hull bitten, tooth fragment recovered",N,fishing,0
253,06-Jul-2016,2016,USA,F,"Buttocks, thigh, left hand & wrist injured",N,swimming,42
254,04-Jul-2016,2016,AUSTRALIA,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,fishing,34
255,27-Jun-2016,2016,USA,M,Minor injury,N,0,35
256,25-Jun-2016,2016,USA,M,Foot injured,N,surfing,11
257,24-Jun-2016,2016,COLUMBIA,M,Severe bite to right hand,N,diving,59
258,23-Jun-2016,2016,SOUTH AFRICA,M,Injuries to left leg & right hand,N,spearfishing,43
259,21-Jun-2016,2016,USA,M,Lacerations and punctures to foot,N,floating,42
260,21-Jun-2016,2016,USA,M,Injuries to right calf,N,wading,0
261,15-Jun-2016,2016,USA,M,Single puncture wound to arm,N,surfing,0
262,15-Jun-2016,2016,AUSTRALIA,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,spearfishing,19
263,14-Jun-2016,2016,USA,F,Injury to lower leg,N,floating,0
264,11-Jun-2016,2016,USA,M,Laceration to wrist,N,standing,19
265,07-Jun-2016,2016,USA,M,"No injury, board damaged",0,surfing,27
266,05-Jun-2016,2016,USA,M,Leg bitten,N,swimming,64
267,05-Jun-2016,2016,AUSTRALIA,F,FATAL,Y,diving,60
268,04-Jun-2016,2016,EGYPT,M,"Leg severely bitten, surgically amputated",N,swimming,23
269,02-Jun-2016,2016,AUSTRALIA,M,"No injury, but sharks repeatedly hit their fins and guns",0,spearfishing,0
270,02-Jun-2016,2016,NEW CALEDONIA,M,Laceration to heel,N,surfing,0
271,31-May-2016,2016,AUSTRALIA,M,FATAL,Y,surfing,29
272,29-May-2016,2016,USA,F,Injuries to arm and shoulder,N,swimming,52
273,29-May-2016,2016,USA,M,Injury to posterior right leg,N,swimming,13
274,22-May-2016,2016,USA,F,Puncture wounds to thigh,N,swimming,57
275,21-May-2016,2016,USA,F,Lacerations and puncture wounds to foot and ankle,N,swimming,22
276,21-May-2016,2016,USA,F,"Back, arm & hand injured",N,swimming,11
277,18-May-2016,2016,USA,M,Ankle bitten,N,swimming,48
278,15-May-2016,2016,USA,F,Arm grabbed PROVOKED INCIDENT,N,teasing,23
279,03-May-2016,2016,USA,M,Minor lacerations to right shoulder,N,floating,59
280,02-May-2016,2016,NEW ZEALAND,M,Foot bitten by landed shark PROVOKED INCIDENT,N,fishing,39
281,25-Apr-2016,2016,INDONESIA,M,Elbow bitten,N,surfing,24
282,23-Apr-2016,2016,USA,M,Minor injury to left foot,N,surfing,15
283,22-Apr-2016,2016,SOUTH AFRICA,M,"No injury, surf-ski bitten",N,skiing,0
284,19-Apr-2016,2016,AUSTRALIA,M,Minor puncture wound to foot,N,swimming,12
285,18-Apr-2016,2016,FRENCH POLYNESIA,M,Laceration to knee by speared shark PROVOKED INCIDENT,0,spearfishing,22
286,18-Apr-2016,2016,FRENCH POLYNESIA,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,spearfishing,26
287,13-Apr-2016,2016,USA,M,Multiple bites to right arm,N,spearfishing,26
288,09-Apr-2016,2016,NEW CALEDONIA,F,FATAL,Y,walking,69
289,08-Apr-2016,2016,CAPE VERDE,M,"""Serious""",0,0,60
290,07-Apr-2016,2016,USA,M,Left hand bitten,N,fishing,34
291,07-Apr-2016,2016,USA,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,0,0,0
292,31-Mar-2016,2016,USA,F,Minor injury to left foot,N,snorkeling,46
293,30-Mar-2016,2016,AUSTRALIA,M,Severe injury to thigh,N,surfing,22
294,28-Mar-2016,2016,USA,M,Minor injury to arm. Possibly caused by smalll nurse shark,0,0,0
295,28-Mar-2016,2016,AUSTRALIA,M,"No injury, board dented",N,surfing,41
296,26-Mar-2016,2016,BAHAMAS,M,Minor injury to chest PROVOKED INCIDENT,N,0,0
297,13-Mar-2016,2016,USA,0,Board reportedly bumped by shark. No injury,0,surfing,0
298,11-Mar-2016,2016,USA,M,Lacerations to right foot and ankle,N,surfing,19
299,10-Mar-2016,2016,Fiji,M,FATAL,Y,diving,45
300,04-Mar-2016,2016,USA,M,Superficial injury to foot,N,0,12
301,Reported 03-Mar-2016,2016,AUSTRALIA,M,Puncture wounds to right calf,N,fishing,0
302,02-Mar-2016,2016,BRAZIL,M,Minor injury to head,N,swimming,41
303,22-Feb-2016,2016,NEW CALEDONIA,M,Puncture wounds to right thigh,N,surfing,21
304, 19-Feb-2016,2016,NEW CALEDONIA,M,Forearm bitten,N,spearfishing,31
305,12-Feb-2016,2016,DOMINICAN REPUBLIC,F,Avulsion injury to lower leg,N,wading,0
306,Reported 10-Feb-2016,2016,CAYMAN ISLANDS,M,Minor injury to wrist from Southern stingray,0,feeding,65
307,10-Feb-2016,2016,AUSTRALIA,M,"No injury, knocked off board",0,surfing,0
308,05-Feb-2016,2016,AUSTRALIA,F,Foot nipped,N,walking,45
309,04-Feb-2016,2016,AUSTRALIA,M,"No injury, shark bit board",N,windsurfing,40
310,02-Feb-2016,2016,BRAZIL,M,Lacerations to scalp,N,swimming,41
311,29-Jan-2016,2016,SOUTH AFRICA,M,"No injury, shark capsized kayak",N,fishing,0
312,28-Jan-2016,2016,USA,M,Lacerations to both hands,N,surfing,0
313,25-Jan-2016,2016,USA,F,No injury,N,surfing,15
314,24-Jan-2016,2016,USA,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,spearfishing,0
315,24-Jan-2016,2016,UNITED ARAB EMIRATES,M,"No injury to occupants, shark leapt into boat",N,fishing,0
316,23-Jan-2016,2016,USA,M,No injury,N,boarding,48
317,Reported 11-Jan-2016,2016,AUSTRALIA,M,Laceration to right foot,N,surfing,0
318,05-Jan-2016,2016,AUSTRALIA,M,Laceration to right calf,N,wading,11
